task_index,seed_a,seed_b,semantic,surface,silent,task
56,154,155,0.9342437982559204,0.28404344193817876,1,[general] Explain the difference between correlation and causation.
57,156,157,0.9601361751556396,0.16878612716763006,1,[general] Why are analogies useful for understanding complex ideas?
58,158,159,0.9332259893417358,0.06153846153846154,1,[general] Explain the difference between abstraction and simplification.
59,160,161,0.9573533535003662,0.14986376021798364,1,[general] Explain the difference between a model and a theory.
60,162,163,0.916678786277771,0.08458390177353342,1,[general] Why do simplifying assumptions help reasoning even when they are false?
61,164,165,0.9576245546340942,0.1791907514450867,1,[general] Explain the difference between signal and noise.
62,166,167,0.9323768615722656,0.08468677494199536,1,[general] Explain the difference between a framework and a methodology.
63,168,169,0.9693587422370911,0.8316151202749141,0,[general] Explain the difference between precision and accuracy.
64,170,171,0.9032808542251587,0.19444444444444445,1,[general] Why can increasing detail sometimes reduce understanding?
65,172,173,0.857267439365387,0.14797687861271677,1,[general] Explain the difference between a hypothesis and a prediction.
66,174,175,0.9829980134963989,0.23325062034739455,1,[general] Why do categories help reasoning but also introduce errors?
67,176,177,0.8879567384719849,0.14713896457765668,1,[general] Explain the difference between context and content.
68,178,179,0.918560802936554,0.14465753424657535,1,[ethics] Why can two people agree on the facts of a situation but disagree about what is morally right?
69,180,181,0.9282601475715637,0.21791320406278855,1,[ethics] Explain the difference between moral responsibility and causal responsibility.
70,182,183,0.9368032217025757,0.10514414923685698,1,[ethics] Why do intentions matter in many moral judgments?
71,184,185,0.9287922382354736,0.06845965770171149,1,[ethics] Explain the difference between fairness and equality.
72,186,187,0.9212744235992432,0.16615384615384615,1,[ethics] Why can following a rule sometimes lead to an unethical outcome?
73,188,189,0.9685700535774231,0.2339862361037586,1,[ethics] Explain the difference between ethical dilemmas and moral uncertainty.
74,190,191,0.9766566753387451,0.16953528399311532,1,[ethics] Why do moral norms change over time within societies?
75,192,193,0.9572516679763794,0.10668047643707923,1,[ethics] Explain the difference between impartiality and empathy in moral reasoning.
76,194,195,0.9486818909645081,0.10988037217545414,1,[ethics] Why can moral rules conflict with each other?
77,196,197,0.9439156651496887,0.23065693430656933,1,[ethics] Explain the difference between moral obligation and moral aspiration.
78,198,199,0.9562768936157227,0.06827084499160604,1,[ethics] Explain the difference between moral justification and moral explanation.
79,200,201,0.9117026925086975,0.05110896817743491,1,[ethics] Why do outcomes matter in some ethical evaluations but not others?
80,202,203,0.9707462191581726,0.3760552570990023,1,[ethics] Explain the difference between moral disagreement and moral error.
81,204,205,0.9287394285202026,0.22758620689655173,1,[ethics] Why can ethical reasoning involve trade-offs without clear right answers?
82,206,207,0.9232364892959595,0.22281639928698752,1,[ethics] Explain the difference between moral permissibility and moral endorsement.
